Id,Make,Model,Type,Origin,DriveTrain,Length
1,Acura,3.5 RL 4dr,Sedan,Asia,Front,3880
2,Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,3893
3,Acura,MDX,SUV,Asia,All,4451
4,Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,3153
5,Acura,RSX Type S 2dr,Sedan,Asia,Front,2778
6,Acura,TL 4dr,Sedan,Asia,Front,3575
7,Acura,TSX 4dr,Sedan,Asia,Front,3230
8,Audi,A4 1.8T 4dr,Sedan,Europe,Front,3252
9,Audi,A4 3.0 4dr,Sedan,Europe,Front,3462
10,Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,3814
11,Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,3627
12,Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,3583
13,Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,4013
14,Audi,A41.8T convertible 2dr,Sedan,Europe,Front,3638
15,Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,3836
16,Audi,A6 3.0 4dr,Sedan,Europe,Front,3561
17,Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,4035
18,Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,3880
19,Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,4024
20,Audi,A8 L Quattro 4dr,Sedan,Europe,All,4399
21,Audi,RS 6 4dr,Sports,Europe,Front,4024
22,Audi,S4 Avant Quattro,Wagon,Europe,All,3936
23,Audi,S4 Quattro 4dr,Sedan,Europe,All,3825
24,Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,3131
25,Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,2921
26,Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,3351
27,BMW,325Ci 2dr,Sedan,Europe,Rear,3197
28,BMW,325Ci convertible 2dr,Sedan,Europe,Rear,3560
29,BMW,325i 4dr,Sedan,Europe,Rear,3219
30,BMW,325xi 4dr,Sedan,Europe,All,3461
